,Coin,Pair_tuple,Exchange
516,RBY,BTC,Bittrex
517,SALT,BTC,Binance
518,SLS,BTC,Bittrex
519,SAN,USDT,Okex
520,SVD,BTC,Hitbtc
521,B2X,USDT,Hitbtc
522,KEY,BTC,Binance
523,SSC,BTC,Okex
524,SENT,BTC,Hitbtc
525,UPP,BTC,Bittrex
526,SEQ,BTC,Bittrex
527,SETH,BTC,Hitbtc
528,SHIFT,BTC,Bittrex
529,SHIP,BTC,Hitbtc
530,OMX,BTC,Kucoin
531,SHOW,USDT,Okex
532,HAND,USDT,Hitbtc
533,SC,BTC,Binance
534,SIB,BTC,Bittrex
535,SNGLS,BTC,Binance
536,AGI,BTC,Binance
537,SRN,BTC,Bittrex
538,SDA,BTC,Okex
539,SKIN,BTC,Hitbtc
540,SKY,BTC,Binance
541,SMART,BTC,Hitbtc
542,SMT,BTC,Hitbtc
543,SSP,BTC,Okex
544,SNOV,BTC,Kucoin
545,SCL,BTC,Hitbtc
546,SLR,BTC,Bittrex
